Party	Information	Race	Edu	Year_stayed	Age_Cat	gender	Climate	Local_att	Local_com	Imme_fam	Government	Insurance	reason	flood_zone_cover	private	public	Policy_Support
1.801901174	4.173339628	1.948321702	2.004674505	3.792990795	0.760543212	0.861538068	0.703274757	0.846381855	2.764494603	2.87224439	3.227663829	1.175533207	1.131728057	0.929569687	5.187429097	4.216516326	0.885581822
2.293950012	3.751915612	2.005096643	1.842510203	3.286781953	1.199859831	1.2786364	1.891796856	1.718681631	0.960975316	2.176039598	3.773546043	0.992606807	0.966185068	0.899241225	7.007626098	5.189027025	3.145941412
1.132154655	2.971240146	2.856363173	1.119979536	3.781578316	3.24382292	1.108461261	2.080833671	2.186266436	2.146457403	3.754610521	2.077175127	0.784043187	1.021581474	0.921018676	2.85921478	3.248687018	1.091246923
2.014575032	1.837946274	3.080442755	2.033743826	4.202522436	5.758584512	0.741630405	1.111615568	1.05439621	2.804708422	3.088172522	4.247752391	1.163669922	0.812180908	0.752745465	2.810365959	4.77103199	0.933225165
2.020875739	3.134177911	0.955131998	1.87225942	4.24309714	3.993125733	1.859494552	2.207313736	1.928264167	4.019085914	4.259644009	3.257424517	1.856582105	2.917255513	1.704127801	3.173624589	6.750393839	2.107868432
1.771142648	0.777726049	2.968353355	3.21306979	4.260903209	3.983296418	0.963643393	2.229506902	0.786865023	2.770283835	2.934207319	0.76207073	1.84322414	2.907433943	0.722212115	4.937322902	6.773394082	2.961361805
0.807259917	3.920118736	3.040701754	1.810372817	2.934872252	5.033664967	2.151158451	2.85490436	1.714987432	4.731829911	4.204303405	1.074764318	0.835922558	0.83815835	0.949678738	5.164610326	3.262393454	1.14571416
2.127227117	0.944512491	1.284550496	3.108085062	3.108630612	1.90856036	1.16540413	1.104438865	1.949556665	2.767731444	3.084462341	2.743077268	1.105414043	1.240445849	0.837863786	3.062698761	5.252525742	0.777759538
1.726856393	3.29383974	1.179968116	2.235469957	3.990945237	6.137769345	1.072824005	2.725350216	1.888515987	3.94826654	3.970574246	2.859097286	1.031526029	1.018690196	0.865302829	2.83989471	7.22451141	2.093119988
2.722189761	3.267459581	2.959225121	1.980171737	4.010111372	1.165074832	1.767595523	1.740090891	1.849846473	3.871355033	4.114028444	2.854212491	2.104280646	3.286071266	1.05158695	6.820261848	6.218587339	3.288268091
1.043786935	2.798606803	2.972381402	3.040269599	3.023638879	6.062923628	0.717058078	1.119322767	0.944269805	3.262450486	2.733886568	3.203088115	1.131139943	0.743046686	4.052642149	3.016046629	5.189981178	1.039088876
1.167027389	0.766977082	2.938565123	2.712876451	2.95962553	4.085499542	2.278888681	2.839098422	2.276659156	4.213054578	3.959740314	1.742575335	1.168735566	0.734601052	1.297183462	4.98556252	4.917162461	1.956133534
1.782294415	3.269449105	0.910380391	1.960460265	2.747569421	0.793945734	1.09795053	1.905572174	1.16229359	4.213574272	3.903568643	0.881201197	1.95087187	3.245186127	0.864854859	4.860762368	7.16384523	1.847751258
1.84577039	0.840227065	2.750364178	2.883112302	4.294166448	4.223602881	1.226396543	1.850712954	0.993081027	2.735105853	2.857893271	1.065239466	2.219655581	3.143882822	0.910672413	5.158065807	7.074921358	2.152377305
2.190141478	2.128193462	0.921585805	0.923449214	3.823407675	1.944417259	2.027202167	3.086787665	1.90729694	3.145387647	3.920449373	2.28624314	1.035253914	0.701785968	0.752268701	4.978991115	6.870432621	1.741682717
1.133368088	1.861654445	2.896904926	2.87259253	3.154153897	6.141335807	1.162398243	1.00145185	1.054919983	3.057634204	2.779102711	3.805263672	0.853793314	1.154981736	0.862528528	5.017778512	6.913148824	2.732724131
2.943998658	3.2600633	1.72337351	0.848006147	4.178798755	5.976709579	1.955470857	2.779118447	1.855523461	5.135558107	4.135810976	4.273501589	1.283651034	0.928838285	1.111383038	5.279025285	5.060543588	1.919497534
